Anode No,Anode Category,EL. Zone (m),"Depletion 
May 2001","Depletion 
Feb 2014","Depletion 
April 2016","Depletion 
July 2024",Depletion Category,Unnamed: 8,Ia,Unnamed: 10,Unnamed: 11,Anode Stage (Ori),Anode Quantity (Ori),Ia' (A'),∑Ia' (A'),Unnamed: 16,Anode Stage (retrofit),Anode Quantity (retrofit),Ia_r(A_r),∑Ia_r(A_r)
BAN202,Original,-59.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN203,Original,-59.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN204,Original,-69.88,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN205,Original,-76.63,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN206,Original,-57.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN207,Original,-66.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN208,Original,-75.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN209,Original,-59.7,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN210,Original,-66.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN211,Original,-69.8,0.1,21-30%,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN212,Original,-76.3,0.1,21-30%,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN213,Original,-76.63,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN214,Original,-59.75,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN215,Original,-56.38,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN216,Original,-73.25,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN217,Original,-59.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN218,Original,-73.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN219,Original,-59.75,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN220,Original,-66.5,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN221,Original,-69.88,0.1,21-30%,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN222,Original,-76.63,0.1,21-30%,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN223,Original,-76.63,0.1,41-50%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN224,Original,-59.75,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN225,Original,-56.38,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN226,Original,-73.25,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN227,Original,-59.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN228,Original,-73.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN229,Original,-80.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN230,Original,-80.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN231,Original,-80.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN232,Original,-80.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN233,Original,-80.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN234,Original,-80.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN235,Original,-80.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN236,Original,-80.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN237,Original,-80.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN238,Original,-80.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN239,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN240,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN241,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN242,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN243,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN244,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN245,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN246,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN247,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN248,Original,-80.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN249,Original,-87.13,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN250,Original,-101.38,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN251,Original,-87.13,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN252,Original,-101.38,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN253,Original,-102.1,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
